         225814160 function calls (225218092 primitive calls) in 393.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1750000    3.971    0.000   14.802    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:3053(new)
  5250000    3.915    0.000    3.915    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:543(__init__)
  1750000    3.835    0.000    3.835    0.000 {method 'encode' of 'ImagingEncoder' objects}
  1750000    3.781    0.000   37.118    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:732(__array_interface__)
22494036/22492036    3.713    0.000    3.907    0.000 {built-in method builtins.isinstance}
1888000/1763800    3.637    0.000  139.063    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:1534(_call_impl)
  1750000    3.505    0.000    5.767    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:254(_conv_type_shape)
  3500000    3.235    0.000    3.235    0.000 {built-in method torch._C._log_api_usage_once}
  3500000    3.038    0.000    4.020    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:3034(_check_size)
  3500000    2.689    0.000    4.915    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/jit/_trace.py:1133(is_tracing)
   141600    2.636    0.000    3.304    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1772(isend)
   141600    2.528    0.000    2.528    0.000 {method 'mul' of 'torch._C.TensorBase' objects}
  1750000    2.509    0.000    2.509    0.000 {built-in method PIL._imaging.fill}
  1750000    2.436    0.000    2.436    0.000 {built-in method PIL._imaging.map_buffer}
    27600    2.411    0.000    2.411    0.000 {built-in method torch.conv2d}
1888000/1763800    2.393    0.000  141.319    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:1528(_wrapped_call_impl)
  1750000    2.283    0.000    5.417    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/_functional_pil.py:41(get_image_num_channels)
    70800    2.191    0.000   16.508    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:310(neighbor_allreduce_nonblocking)
      200    2.117    0.011    2.117    0.011 {built-in method torch.randperm}
   141600    1.907    0.000    2.093    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1955(_coalescing_manager)
  3500000    1.783    0.000    1.783    0.000 {built-in method torch._C._is_tracing}
  3500000    1.777    0.000    2.205    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/_functional_pil.py:14(_is_pil_image)
   141600    1.729    0.000    2.368    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1811(irecv)
14108702/14107902    1.719    0.000    1.723    0.000 {built-in method builtins.len}
 12250000    1.693    0.000    1.693    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:567(mode)
  1888200    1.683    0.000    1.683    0.000 {built-in method torch._C._get_tracing_state}
  1750000    1.544    0.000  108.889    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/transforms.py:269(forward)
    27600    1.518    0.000    1.518    0.000 {method 'cuda' of 'torch._C.TensorBase' objects}
  3500000    1.494    0.000    1.925    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:555(width)
 12250000    1.493    0.000    1.493    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:563(size)
  3500000    1.392    0.000    1.820    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:559(height)
  1750000    1.381    0.000    1.922    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:885(load)
    13800    1.365    0.000  333.940    0.024 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:51(<listcomp>)
  3547216    1.275    0.000    1.275    0.000 {method 'startswith' of 'str' objects}
  1750000    1.148    0.000    1.148    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/_functional_tensor.py:9(_is_tensor_a_torch_image)
  1750000    1.147    0.000    1.352    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:1387(getbands)
    70800    1.139    0.000    1.139    0.000 {built-in method torch.zeros}
   141600    1.112    0.000    1.112    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  1750000    1.070    0.000    1.070    0.000 {built-in method PIL._imaging.raw_encoder}
    71200    1.024    0.000    1.024    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
  7132000    1.015    0.000    1.015    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_jit_internal.py:1120(is_scripting)
    13800    1.010    0.000    1.010    0.000 {built-in method torch.stack}
  1750000    0.939    0.000    0.939    0.000 {method 'is_floating_point' of 'torch._C.TensorBase' objects}
  1750000    0.878    0.000    0.878    0.000 {method 'contiguous' of 'torch._C.TensorBase' objects}
  1750000    0.877    0.000    2.025    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/_functional_tensor.py:13(_assert_image_tensor)
  1750000    0.876    0.000    1.117    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/functional.py:117(_is_numpy)
    70800    0.826    0.000    2.954    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:372(post_func)
  1750000    0.822    0.000    0.822    0.000 {built-in method builtins.max}
    49400    0.746    0.000    0.746    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
  3683004    0.734    0.000    0.734    0.000 {method 'get' of 'dict' objects}
    70800    0.731    0.000    9.498    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:2044(batch_isend_irecv)
  1750000    0.702    0.000    0.702    0.000 {built-in method torch.get_default_dtype}
  1750000    0.698    0.000    0.698    0.000 {method 'setimage' of 'ImagingEncoder' objects}
  1950600    0.693    0.000    0.693    0.000 {built-in method builtins.getattr}
    28200    0.675    0.000    0.675    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    13800    0.656    0.000    0.656    0.000 {built-in method torch._C._nn.cross_entropy_loss}
    11800    0.645    0.000    0.645    0.000 {built-in method torch._foreach_add}
    14000    0.634    0.000  340.307    0.024 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:673(_next_data)
      100    0.616    0.006  343.498    3.435 /home/qyq/bfl/example/torch_cifar10.py:231(train)
  3500000    0.588    0.000    0.588    0.000 {method 'copy' of 'dict' objects}
    13800    0.588    0.000    0.588    0.000 {built-in method torch._C._nn.linear}
    70800    0.545    0.000   17.053    0.000 /home/qyq/bfl/bluefoglite/torch_api.py:129(neighbor_allreduce_nonblocking)
  1750000    0.541    0.000    0.541    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    27600    0.517    0.000    0.517    0.000 {built-in method torch.max_pool2d}
414000/110400    0.509    0.000    0.981    0.000 /home/qyq/bfl/bluefoglite/common/optimizers.py:32(_named_leaf_module)
    71200    0.509    0.000    3.573    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:60(wait)
    27600    0.501    0.000    0.501    0.000 {built-in method torch.relu}
  2399200    0.499    0.000    0.499    0.000 {method 'append' of 'list' objects}
  1836800    0.493    0.000    0.493    0.000 {built-in method builtins.hasattr}
    13800    0.475    0.000   19.689    0.001 /home/qyq/bfl/bluefoglite/common/optimizers.py:135(hook)
    13800    0.448    0.000    0.448    0.000 {method 'max' of 'torch._C.TensorBase' objects}
    14200    0.431    0.000    0.431    0.000 {built-in method torch.tensor}
    13800    0.426    0.000    0.426    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
   528200    0.407    0.000    0.476    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2322(named_children)
   167200    0.400    0.000    1.260    0.000 {built-in method builtins.all}
      200    0.388    0.002    0.388    0.002 {method 'tolist' of 'torch._C.TensorBase' objects}
  1750000    0.375    0.000    0.490    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:168(<genexpr>)
  1750000    0.372    0.000    0.372    0.000 {method 'join' of 'bytes' objects}
    14000    0.352    0.000    2.946    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/sampler.py:274(__iter__)
   179400    0.337    0.000    0.696    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2193(_named_members)
   992400    0.310    0.000    0.446    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:588(WORLD)
   283200    0.305    0.000    0.644    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:404(__new__)
    23600    0.294    0.000    0.294    0.000 {built-in method torch._foreach_add_}
41400/13800    0.292    0.000    2.686    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:108(collate)
    49400    0.288    0.000    0.288    0.000 {built-in method torch._ops.profiler.}
   283600    0.279    0.000    0.685    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1005(_get_default_group)
23600/11800    0.273    0.000    7.802    0.001 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:374(wrapper)
    11800    0.271    0.000    0.701    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:793(zero_grad)
   566400    0.268    0.000    0.336    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:860(_check_single_tensor)
    49400    0.250    0.000    0.603    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/profiler.py:610(__exit__)
    70800    0.231    0.000   17.284    0.000 /home/qyq/bfl/bluefoglite/common/optimizers.py:163(_neighbor_allreduce_data_async)
    11800    0.224    0.000    0.300    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/sgd.py:45(_init_group)
    11800    0.214    0.000    0.214    0.000 {method 'clear' of 'dict' objects}
   191000    0.209    0.000    0.299    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:306(inner)
    11800    0.201    0.000    0.201    0.000 {built-in method torch.ones_like}
    11800    0.199    0.000    1.699    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/sgd.py:296(_multi_tensor_sgd)
    13800    0.197    0.000    0.197    0.000 {method 'eq' of 'torch._C.TensorBase' objects}
    27600    0.173    0.000    4.361    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/container.py:215(forward)
   179400    0.171    0.000    0.867    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2232(named_parameters)
    11800    0.171    0.000    1.157    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:351(__call__)
    11800    0.161    0.000    0.161    0.000 {built-in method torch._foreach_mul_}
    82600    0.158    0.000    0.158    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:122(<genexpr>)
   283200    0.155    0.000    0.155    0.000 {method 'is_complex' of 'torch._C.TensorBase' objects}
   193200    0.147    0.000    0.176    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2369(named_modules)
   283200    0.145    0.000    0.145    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:395(__init__)
    70800    0.143    0.000    0.526    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:914(_check_p2p_op_list)
    13800    0.141    0.000    5.472    0.000 /home/qyq/bfl/model/cnn.py:46(forward)
   992400    0.136    0.000    0.136    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:460(default_pg)
    11800    0.131    0.000    0.131    0.000 {built-in method torch._C._group_tensors_by_device_and_dtype}
    49400    0.128    0.000    0.932    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/profiler.py:604(__enter__)
   378000    0.126    0.000    0.195    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_tensor.py:1059(__hash__)
    70800    0.124    0.000    0.146    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/contextlib.py:102(__init__)
    49400    0.122    0.000    0.191    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/profiler.py:593(__init__)
    14000    0.117    0.000  340.989    0.024 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:626(__next__)
   354000    0.114    0.000    0.136    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:920(<genexpr>)
   283800    0.113    0.000    0.235    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:973(is_initialized)
    11800    0.112    0.000    4.059    0.000 /home/qyq/bfl/bluefoglite/common/optimizers.py:186(synchronize)
      100    0.109    0.001   49.956    0.500 /home/qyq/bfl/example/torch_cifar10.py:276(test)
    70800    0.109    0.000    1.843    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/contextlib.py:139(__exit__)
   169400    0.108    0.000    5.147    0.000 {built-in method builtins.next}
   124200    0.108    0.000    0.108    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:1696(__getattr__)
    11800    0.104    0.000    0.104    0.000 {built-in method posix.stat}
    11800    0.104    0.000    2.469    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/sgd.py:60(step)
   283200    0.102    0.000    0.102    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:904(_check_op)
    11800    0.097    0.000    2.625    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:58(_use_grad)
   283600    0.094    0.000    0.094    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:752(_rank_not_in_group)
      200    0.085    0.000    2.594    0.013 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/distributed.py:96(__iter__)
    13800    0.084    0.000    1.098    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:194(collate_tensor_fn)
    27600    0.084    0.000    2.575    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/conv.py:459(forward)
   429600    0.082    0.000    0.113    0.000 {method 'add' of 'set' objects}
    70800    0.081    0.000    0.153    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/grad_mode.py:183(__init__)
    11800    0.080    0.000    7.278    0.001 /home/qyq/bfl/bluefoglite/common/optimizers.py:214(step)
   354000    0.076    0.000    0.076    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:929(<genexpr>)
    23600    0.075    0.000    0.160    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:773(getfile)
    11800    0.073    0.000    0.289    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/__init__.py:60(_make_grads)
    11800    0.073    0.000    0.401    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:813(getsourcefile)
   389800    0.072    0.000    0.072    0.000 {built-in method builtins.id}
    11800    0.072    0.000   12.095    0.001 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/__init__.py:165(backward)
    11800    0.071    0.000    0.442    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3342(check_verbose)
   306801    0.070    0.000    0.070    0.000 {built-in method __new__ of type object at 0x744500}
    99400    0.070    0.000    0.101    0.000 {built-in method _abc._abc_instancecheck}
    70800    0.068    0.000    0.091    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1037(__hash__)
    70800    0.067    0.000    0.517    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/contextlib.py:130(__enter__)
   498800    0.067    0.000    0.067    0.000 {method 'items' of 'collections.OrderedDict' objects}
    11800    0.067    0.000    2.236    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_compile.py:20(inner)
    11800    0.065    0.000    2.026    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/sgd.py:194(sgd)
    11800    0.064    0.000    0.090    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:290(__init__)
    70800    0.063    0.000    0.209    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/contextlib.py:279(helper)
   283600    0.061    0.000    0.061    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_typing_utils.py:10(not_none)
    96600    0.061    0.000    0.073    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2260(<lambda>)
    27600    0.059    0.000    0.671    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/pooling.py:163(forward)
    49400    0.058    0.000    0.805    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_ops.py:846(__call__)
    11800    0.057    0.000   12.157    0.001 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_tensor.py:466(backward)
    11800    0.057    0.000    0.092    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/functools.py:35(update_wrapper)
    70800    0.054    0.000    0.071    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1946(append)
    70800    0.053    0.000    0.053    0.000 {built-in method torch._C._set_grad_enabled}
    27600    0.051    0.000    0.613    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_jit_internal.py:487(fn)
    11800    0.051    0.000    0.829    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:428(_fn)
    27600    0.050    0.000    2.461    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/conv.py:451(_conv_forward)
    11800    0.049    0.000   11.701    0.001 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/graph.py:739(_engine_run_backward)
    13800    0.048    0.000    0.722    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/functional.py:2996(cross_entropy)
    23600    0.048    0.000    0.053    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/grad_mode.py:74(__init__)
    13800    0.044    0.000  336.704    0.024 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:46(fetch)
    11800    0.044    0.000    7.847    0.001 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:70(wrapper)
    11800    0.044    0.000    1.340    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/decorators.py:36(disable)
    13800    0.043    0.000    0.643    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/linear.py:115(forward)
    27600    0.042    0.000    0.042    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    23600    0.042    0.000    0.108    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/grad_mode.py:79(__enter__)
    11800    0.041    0.000    0.194    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3432(lookup_inner)
    99400    0.041    0.000    0.141    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/abc.py:117(__instancecheck__)
    11800    0.040    0.000    0.104    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3275(check_file)
    27600    0.040    0.000    0.553    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/functional.py:1489(relu)
    49400    0.040    0.000    0.328    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_ops.py:591(__call__)
    35400    0.039    0.000    0.136    0.000 {built-in method builtins.any}
    82600    0.039    0.000    0.039    0.000 {method 'setdefault' of 'dict' objects}
    35400    0.038    0.000    0.050    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/variables/base.py:127(__instancecheck__)
    11800    0.038    0.000    0.255    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:109(_default_to_fused_or_foreach)
    27600    0.036    0.000    0.589    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/activation.py:102(forward)
   106200    0.036    0.000    0.036    0.000 {built-in method torch.is_grad_enabled}
    27600    0.035    0.000    0.561    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/functional.py:774(_max_pool2d)
    23600    0.034    0.000    0.042    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_contextlib.py:149(__new__)
    71200    0.034    0.000    0.034    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:52(__init__)
    13800    0.034    0.000    1.603    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:173(<listcomp>)
    11800    0.034    0.000    0.044    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:141(change)
    11800    0.033    0.000    0.123    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:550(__init__)
    27600    0.033    0.000    0.050    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/container.py:207(__iter__)
      400    0.033    0.000    0.041    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:443(allreduce_nonblocking)
   165200    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    11800    0.031    0.000    0.341    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_contextlib.py:112(decorate_context)
    11800    0.029    0.000    0.032    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2840(is_aten_op_or_tensor_method)
    23600    0.029    0.000    0.202    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/package/package_importer.py:694(_patched_getfile)
    13800    0.029    0.000    2.715    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:255(default_collate)
    70800    0.028    0.000    0.028    0.000 {method 'pop' of 'dict' objects}
    59000    0.028    0.000    0.044    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3279(<genexpr>)
   141600    0.028    0.000    0.028    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:543(pg_coalesce_state)
    70800    0.028    0.000    0.028    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1943(__init__)
    11800    0.027    0.000    0.183    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_foreach_utils.py:30(_group_tensors_by_device_and_dtype)
    23600    0.026    0.000    0.076    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/grad_mode.py:83(__exit__)
    82600    0.026    0.000    0.026    0.000 {built-in method builtins.hash}
    67200    0.026    0.000    0.026    0.000 {built-in method torch._C._has_torch_function_unary}
